Estado,Capital,Lat,Long
Aguascalientes,Aguascalientes,21.880833,-102.296111
Baja California,Mexicali,32.663333,-115.467778
Baja California Sur,La Paz,24.142222,-110.310833
Campeche,San Francisco de Campeche,19.848611,-90.525278
Coahuila de Zaragoza,Saltillo,25.433333,-101.0
Colima,Colima,19.245,-103.724722
Chiapas,Tuxtla Gutiérrez,16.753056,-93.115556
Chihuahua,Chihuahua,28.633333,-106.083333
Ciudad de México,Ciudad de México,19.432608,-99.133209
Durango,Victoria de Durango,24.023889,-104.653333
Guanajuato,Guanajuato,21.019444,-101.257778
Guerrero,Chilpancingo de los Bravo,17.551944,-99.5
Hidalgo,Pachuca de Soto,20.121389,-98.733889
Jalisco,Guadalajara,20.676667,-103.347222
México,Toluca de Lerdo,19.283333,-99.65
Michoacán de Ocampo,Morelia,19.703333,-101.192778
Morelos,Cuernavaca,18.918611,-99.234167
Nayarit,Tepic,21.508333,-104.894722
Nuevo León,Monterrey,25.686944,-100.316389
Oaxaca,Oaxaca de Juárez,17.066667,-96.716667
Puebla,Puebla de Zaragoza,19.041389,-98.206667
Querétaro,Santiago de Querétaro,20.588056,-100.389722
Quintana Roo,Chetumal,18.5,-88.296111
San Luis Potosí,San Luis Potosí,22.156944,-100.985278
Sinaloa,Culiacán Rosales,24.809167,-107.394444
Sonora,Hermosillo,29.072967,-110.955919
Tabasco,Villahermosa,17.989167,-92.947778
Tamaulipas,Ciudad Victoria,23.736944,-99.140833
Tlaxcala,Tlaxcala de Xicohténcatl,19.318056,-98.237778
Veracruz de Ignacio de la Llave,Xalapa-Enríquez,19.543056,-96.910833
Yucatán,Mérida,20.966667,-89.616667
Zacatecas,Zacatecas,22.771111,-102.575833
